"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Feb 03 09:10:17 IST 2023","Fri Feb 03 09:10:20 IST 2023","2867","","E2E - adding items to cart from marketpage","","E2E - adding items to cart from marketpage","adds an item on sale to cart and verifies checkout total is correct","adds an item on sale to cart and verifies checkout total is correct","Add a sale item to cart and verify totals"
"broken","Fri Feb 03 09:10:14 IST 2023","Fri Feb 03 09:10:17 IST 2023","2765","","E2E - adding items to cart from marketpage","","E2E - adding items to cart from marketpage","adds an item to cart and verifies checkout total is correct","adds an item to cart and verifies checkout total is correct","Add an item to cart and verify totals"
